#layer	m	n	k	Flops
1	50176	192	27	520224768
5	50176	64	192	1233125376
8	50176	96	192	1849688064
11	50176	128	864	11098128384
14	50176	16	192	308281344
17	50176	32	144	462422016
20	50176	32	288	924844032
24	50176	32	192	616562688
28	50176	128	256	3288334336
34	50176	192	1152	22196256768
37	50176	32	256	822083584
40	50176	96	288	2774532096
43	50176	96	864	8323596288
47	50176	64	256	1644167168
52	12544	192	480	2312110080
55	12544	96	480	1156055040
58	12544	208	864	4508614656
61	12544	16	480	192675840
64	12544	48	144	173408256
67	12544	48	432	520224768
71	12544	64	480	770703360
75	12544	160	512	2055208960
78	12544	112	512	1438646272
81	12544	224	1008	5664669696
84	12544	24	512	308281344
87	12544	64	216	346816512
90	12544	64	576	924844032
94	12544	64	512	822083584
98	12544	128	512	1644167168
104	12544	256	1152	7398752256
124	12544	144	512	1849688064
127	12544	288	1296	9364045824
130	12544	32	512	411041792
133	12544	64	288	462422016
144	12544	256	528	3391094784
147	12544	160	528	2119434240
150	12544	320	1440	11560550400
153	12544	32	528	423886848
156	12544	128	288	924844032
159	12544	128	1152	3699376128
163	12544	128	528	1695547392
168	3136	256	832	1335885824
171	3136	160	832	834928640
174	3136	320	1440	2890137600
177	3136	32	832	166985728
180	3136	128	288	231211008
183	3136	128	1152	924844032
187	3136	128	832	667942912
191	3136	384	832	2003828736
194	3136	192	832	1001914368
197	3136	384	1728	4161798144
200	3136	48	832	250478592
203	3136	128	432	346816512
