#layer	m	n	k	Flops
    1	12544	64	147	236027904
    2	3136	64	64	25690112
    3	3136	64	576	231211008
    4	3136	256	64	102760448
    5	3136	64	256	102760448
    6	3136	128	256	205520896
    7	784	128	1152	231211008
    8	784	512	128	102760448
    9	784	512	256	205520896
    10	784	128	512	102760448
    11	784	256	512	205520896
    12	196	256	2304	231211008
    13	196	1024	256	102760448
    14	196	1024	512	205520896
    15	196	256	1024	102760448
    16	196	512	1024	205520896
    17	49	512	4608	231211008
    18	49	2048	512	102760448
    19	49	2048	1024	205520896
    20	49	512	2048	102760448
