#Layer;BLIS;FAMILY+BLIS;FAMILY;FAMILY+EXO
#l;Gflops;Gflops;Gflops;Gflops
1;1.41e+01;1.55e+01;1.60e+01;1.66e+01
4;1.80e+01;1.71e+01;1.87e+01;2.07e+01
7;1.92e+01;1.71e+01;1.84e+01;2.18e+01
10;2.16e+01;2.27e+01;2.37e+01;2.43e+01
16;1.91e+01;1.81e+01;1.95e+01;2.13e+01
36;2.19e+01;2.21e+01;2.35e+01;2.46e+01
39;2.20e+01;2.19e+01;2.26e+01;2.33e+01
42;2.12e+01;2.54e+01;2.57e+01;2.57e+01
44;2.32e+01;2.62e+01;2.65e+01;2.61e+01
48;2.20e+01;2.22e+01;2.28e+01;2.37e+01
78;2.27e+01;2.41e+01;2.47e+01;2.60e+01
81;2.08e+01;2.23e+01;2.25e+01;2.44e+01
84;2.00e+01;2.42e+01;2.49e+01;2.53e+01
86;2.19e+01;2.45e+01;2.49e+01;2.51e+01
90;2.10e+01;2.22e+01;2.28e+01;2.46e+01
140;2.16e+01;2.39e+01;2.43e+01;2.52e+01
143;1.62e+01;1.72e+01;1.68e+01;1.05e+01
146;1.63e+01;1.81e+01;1.73e+01;1.06e+01
148;1.62e+01;1.77e+01;1.72e+01;1.05e+01
152;6.62e+00;6.74e+00;6.60e+00;5.38e+00
